smiles,source
C#CC#CC#CC#CC,qm9
C#CC#CC#CC(C)=O,qm9
C#CC#CC#CC(C)C,qm9
C#CC#CC#CC(C)O,qm9
C#CC#CC#CC(N)=O,qm9
C#CC#CC#CC1CC1,qm9
C#CC#CC#CC1CN1,qm9
C#CC#CC#CC1CO1,qm9
C#CC#CC#CCC#C,qm9
C#CC#CC#CCC#N,qm9
C#CC#CC#CCC=O,qm9
C#CC#CC#CCCC,qm9
C#CC#CC#CCCO,qm9
C#CC#CC#CCOC,qm9
C#CC#CC(=N)NC=O,qm9
C#CC#CC(=O)C#CC,qm9
C#CC#CC(=O)C(=N)N,qm9
C#CC#CC(=O)C(C)=O,qm9
C#CC#CC(=O)C(C)C,qm9
C#CC#CC(=O)C(C)O,qm9
C#CC#CC(=O)C(N)=O,qm9
C#CC#CC(=O)C1CC1,qm9
C#CC#CC(=O)C1CN1,qm9
C#CC#CC(=O)C1CO1,qm9
C#CC#CC(=O)CC#C,qm9
C#CC#CC(=O)CC#N,qm9
C#CC#CC(=O)CCC,qm9
C#CC#CC(=O)CCO,qm9
C#CC#CC(=O)COC,qm9
C#CC#CC(=O)N(C)C,qm9
C#CC#CC(=O)N1CC1,qm9
C#CC#CC(=O)NC=N,qm9
C#CC#CC(=O)NC=O,qm9
C#CC#CC(=O)NCC,qm9
C#CC#CC(=O)OCC,qm9
C#CC#CC(=O)O[CH][NH],qm9
C#CC#CC(C#C)=NO,qm9
C#CC#CC(C#C)C#C,qm9
C#CC#CC(C#C)C=O,qm9
C#CC#CC(C#C)CC,qm9
C#CC#CC(C#C)CO,qm9
C#CC#CC(C#C)OC,qm9
C#CC#CC(C#N)C=O,qm9
C#CC#CC(C#N)CC,qm9
C#CC#CC(C#N)CN,qm9
C#CC#CC(C#N)CO,qm9
C#CC#CC(C#N)NC,qm9
C#CC#CC(C#N)OC,qm9
C#CC#CC(C)(C)C#C,qm9
C#CC#CC(C)(C)C#N,qm9
C#CC#CC(C)(C)C=O,qm9
C#CC#CC(C)(C)CC,qm9
C#CC#CC(C)(C)CO,qm9
C#CC#CC(C)(C)OC,qm9
C#CC#CC(C)(N)C#N,qm9
C#CC#CC(C)(O)C#C,qm9
C#CC#CC(C)(O)C#N,qm9
C#CC#CC(C)(O)C=O,qm9
C#CC#CC(C)(O)CC,qm9
C#CC#CC(C)(O)CO,qm9
C#CC#CC(C)C#CC,qm9
C#CC#CC(C)C(C)=O,qm9
C#CC#CC(C)C(C)C,qm9
C#CC#CC(C)C(C)O,qm9
C#CC#CC(C)C(N)=O,qm9
C#CC#CC(C)C1CC1,qm9
C#CC#CC(C)C1CN1,qm9
C#CC#CC(C)C1CO1,qm9
C#CC#CC(C)CC#C,qm9
C#CC#CC(C)CC#N,qm9
C#CC#CC(C)CC=O,qm9
C#CC#CC(C)CCC,qm9
C#CC#CC(C)CCO,qm9
C#CC#CC(C)COC,qm9
C#CC#CC(C)N1CC1,qm9
C#CC#CC(C)NC=O,qm9
C#CC#CC(C)OC=O,qm9
C#CC#CC(C)OCC,qm9
C#CC#CC(C)O[CH][NH],qm9
C#CC#CC(C=O)C=O,qm9
C#CC#CC(C=O)CC,qm9
C#CC#CC(C=O)CO,qm9
C#CC#CC(C=O)NC,qm9
C#CC#CC(C=O)OC,qm9
C#CC#CC(CC)=NO,qm9
C#CC#CC(CC)CC,qm9
C#CC#CC(CC)CO,qm9
C#CC#CC(CC)OC,qm9
C#CC#CC(CO)CO,qm9
C#CC#CC(CO)OC,qm9
C#CC#CC(N)C(=O)O,qm9
C#CC#CC(N)C(N)=O,qm9
C#CC#CC(N)CC#N,qm9
C#CC#CC(O)C#CC,qm9
C#CC#CC(O)C(C)=O,qm9
C#CC#CC(O)C(C)C,qm9
C#CC#CC(O)C(C)O,qm9
C#CC#CC(O)C(N)=O,qm9
C#CC#CC(O)C1CC1,qm9
C#CC#CC(O)C1CN1,qm9
C#CC#CC(O)C1CO1,qm9
C#CC#CC(O)CC#C,qm9
C#CC#CC(O)CC#N,qm9
C#CC#CC(O)CC=O,qm9
C#CC#CC(O)CCC,qm9
